Chemical,CAS,Sl (m/s),Reactivity
"1,1,2-TRIMETHYLCYCLOPROPANE",4127-45-1,0.52,Medium
"2,3-DIMETHYL-1,3-BUTADIENE",513-81-5,0.52,Medium
"1,5-HEXADIENE",592-42-7,0.52,Medium
METHYLCYCLOBUTANE,598-61-8,0.52,Medium
1-BUTENE,106-98-9,0.51,Medium
"cis-2-PENTENE",627-20-3,0.51,Medium
ACRYLONITRILE,107-13-1,0.5,Medium
1-PENTENE,109-67-1,0.5,Medium
"2-CYCLOPROPYL-PROPANE",3638-35-5,0.5,Medium
1-HEXENE,592-41-6,0.5,Medium
"3-METHYL-1-BUTENE",563-45-1,0.49,Medium
TETRAHYDROPYRAN,142-68-7,0.48,Medium
"4-METHYL-1-PENTENE",691-37-2,0.48,Medium
BENZENE,71-43-2,0.48,Medium
DIETHYL ETHER,60-29-7,0.47,Medium
ETHANE,74-84-0,0.47,Medium
"2-METHYL-1-PENTENE",763-29-1,0.47,Medium
n-PENTANE,109-66-0,0.46,Medium
n-HEXANE,110-54-3,0.46,Medium
CYCLOHEXANE,110-82-7,0.46,Medium
"2-METHYL-1,3-PENTADIENE",1118-58-7,0.46,Medium
n-HEPTANE,142-82-5,0.46,Medium
ETHYLENEIMINE,151-56-4,0.46,Medium
CYCLOPENTADIENE,542-92-7,0.46,Medium
"2-METHYL-1-BUTENE",563-46-2,0.46,Medium
"2,3-DIMETHYL-1-BUTENE",563-78-0,0.46,Medium
CARBON MONOXIDE,630-08-0,0.46,Medium
PROPANE,74-98-6,0.46,Medium
"2-ETHYL-1-BUTENE",760-21-4,0.46,Medium
ISOPROPYLCYCLOBUTANE,872-56-0,0.46,Medium
n-BUTANE,106-97-8,0.45,Medium
METHYLCYCLOHEXANE,108-87-2,0.44,Low
CYCLOPENTANE,287-92-3,0.44,Low
n-HEXADECANE,544-76-3,0.44,Low
"2,3-DIMETHYL-2-BUTENE",563-79-1,0.44,Low
1-DECENE,872-05-9,0.44,Low
2-METHYLPENTANE,107-83-5,0.43,Low
n-DECANE,124-18-5,0.43,Low
"2,3-DIMETHYLPENTANE",565-59-3,0.43,Low
2-METHYLBUTANE,78-78-4,0.43,Low
"2,3-DIMETHYLBUTANE",79-29-8,0.43,Low
3-METHYLPENTANE,96-14-0,0.43,Low
"2,4-DIMETHYLPENTANE",108-08-7,0.42,Low
"2,2,3-TRIMETHYLBUTANE",464-06-2,0.42,Low
"2,2-DIMETHYLBUTANE",75-83-2,0.42,Low
BUTANONE,78-93-3,0.42,Low
METHYLCYCLOPENTANE,96-37-7,0.42,Low
TOLUENE,108-88-3,0.41,Low
"2,2,4-TRIMETHYLPENTANE",540-84-1,0.41,Low
"2,2-DIMETHYLPENTANE",590-35-2,0.41,Low
ISOPROPANOL,67-63-0,0.41,Low
2-METHYLPROPANE,75-28-5,0.41,Low
n-OCTANE,111-65-9,0.4,Low
METHANE,74-82-8,0.4,Low
TETRALIN,119-64-2,0.39,Low
"2,2-DIMETHYLPROPANE",463-82-1,0.39,Low
"1,2,4-TRIMETHYLBENZENE",95-63-6,0.39,Low
tert-BUTYLBENZENE,98-06-6,0.39,Low
ETHYL ACETATE,141-78-6,0.38,Low
n-BUTYLBENZENE,104-51-8,0.37,Low
"1,2-DIMETHYLBENZENE",95-47-6,0.37,Low
trans-DECALIN,493-02-7,0.36,Low
DIPHENYLMETHANE,101-81-5,0.35,Low
ISOPROPYLAMINE,75-31-0,0.31,Low
"1,1-DIFLUOROETHANE",75-37-6,0.236,Low
"1,1,2-TRIFLUOROETHANE",430-66-0,0.131,Low
"1,1,1-TRIFLUOROETHANE",420-46-2,0.071,Low
DIFLUOROMETHANE,75-10-5,0.067,Low
